periodName,period,value,year,seriesID,region
November,11,8.2,2011,LAURD830000000000003,3
October,10,8.7,2011,LAURD830000000000003,3
September,09,9.1,2011,LAURD830000000000003,3
August,08,9.5,2011,LAURD830000000000003,3
July,07,10.0,2011,LAURD830000000000003,3
June,06,9.8,2011,LAURD830000000000003,3
May,05,9.1,2011,LAURD830000000000003,3
April,04,8.9,2011,LAURD830000000000003,3
March,03,9.6,2011,LAURD830000000000003,3
February,02,10.0,2011,LAURD830000000000003,3
January,01,10.2,2011,LAURD830000000000003,3
December,12,9.4,2010,LAURD830000000000003,3
November,11,9.5,2010,LAURD830000000000003,3
October,10,9.4,2010,LAURD830000000000003,3
September,09,9.6,2010,LAURD830000000000003,3
August,08,10.2,2010,LAURD830000000000003,3
July,07,10.8,2010,LAURD830000000000003,3
June,06,10.6,2010,LAURD830000000000003,3
May,05,10.4,2010,LAURD830000000000003,3
April,04,10.8,2010,LAURD830000000000003,3
March,03,11.9,2010,LAURD830000000000003,3
February,02,12.2,2010,LAURD830000000000003,3
January,01,12.3,2010,LAURD830000000000003,3
December,12,11.1,2009,LAURD830000000000003,3
November,11,10.6,2009,LAURD830000000000003,3
October,10,10.8,2009,LAURD830000000000003,3
September,09,10.7,2009,LAURD830000000000003,3
August,08,11.0,2009,LAURD830000000000003,3
July,07,11.4,2009,LAURD830000000000003,3
June,06,11.5,2009,LAURD830000000000003,3
May,05,10.8,2009,LAURD830000000000003,3
April,04,10.2,2009,LAURD830000000000003,3
March,03,10.7,2009,LAURD830000000000003,3
February,02,10.4,2009,LAURD830000000000003,3
January,01,9.7,2009,LAURD830000000000003,3
December,12,7.8,2008,LAURD830000000000003,3
November,11,6.8,2008,LAURD830000000000003,3
October,10,6.5,2008,LAURD830000000000003,3
September,09,6.3,2008,LAURD830000000000003,3
August,08,6.7,2008,LAURD830000000000003,3
July,07,6.9,2008,LAURD830000000000003,3
June,06,6.5,2008,LAURD830000000000003,3
May,05,6.0,2008,LAURD830000000000003,3
April,04,5.4,2008,LAURD830000000000003,3
March,03,6.1,2008,LAURD830000000000003,3
February,02,6.1,2008,LAURD830000000000003,3
January,01,6.2,2008,LAURD830000000000003,3
December,12,5.6,2007,LAURD830000000000003,3
November,11,5.1,2007,LAURD830000000000003,3
October,10,5.1,2007,LAURD830000000000003,3
September,09,5.2,2007,LAURD830000000000003,3
