[1] 2017-11-07

                             		Persons		Observations
Totals                      		37495		224970
Missing on DV                		28085		107728

Descriptives
                        [,1]        [,2]        [,3]        [,4]        [,5]        [,6]
Group.1                 6.00        7.00        8.00        9.00       10.00       11.00
rabyear.mn           1933.72     1937.42     1937.96     1938.72     1944.84     1945.35
rabyear.sdev           10.18       11.24       10.87       10.52       11.64       11.31
rabyear.min          1892.00     1901.00     1901.00     1901.00     1909.00     1909.00
rabyear.max          1976.00     1980.00     1981.00     1981.00     1992.00     1992.00
rabyear.n           16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
rabyear.nmiss           0.00        0.00        0.00        0.00        0.00        0.00
raedyrs.mn             12.30       12.47       12.49       12.55       12.68       12.71
raedyrs.sdev            3.20        3.20        3.20        3.19        3.18        3.18
raedyrs.min             0.00        0.00        0.00        0.00        0.00        0.00
raedyrs.max            17.00       17.00       17.00       17.00       17.00       17.00
raedyrs.n           16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
raedyrs.nmiss           2.00       26.00       28.00       28.00       96.00       96.00
raracem.mn              1.20        1.24        1.24        1.24        1.36        1.37
raracem.sdev            0.48        0.53        0.53        0.54        0.63        0.64
raracem.min             1.00        1.00        1.00        1.00        1.00        1.00
raracem.max             3.00        3.00        3.00        3.00        3.00        3.00
raracem.n           16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
raracem.nmiss           5.00        5.00        2.00        1.00       55.00       59.00
has_pgs.mn              0.07        0.08        0.09        0.09        0.10        0.09
has_pgs.sdev            0.26        0.28        0.29        0.29        0.30        0.29
has_pgs.min             0.00        0.00        0.00        0.00        0.00        0.00
has_pgs.max             1.00        1.00        1.00        1.00        1.00        1.00
has_pgs.n           16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
has_pgs.nmiss           0.00        0.00        0.00        0.00        0.00        0.00
cendiv.mn               4.96        5.02        5.03        5.04        5.19        5.21
cendiv.sdev             2.33        2.36        2.35        2.34        2.38        2.38
cendiv.min              1.00        1.00        1.00        1.00        1.00        1.00
cendiv.max              9.00        9.00        9.00        9.00        9.00        9.00
cendiv.n            16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
cendiv.nmiss           26.00       36.00       36.00       35.00       40.00       42.00
cesd.mn                 1.54        1.50        1.54        1.45        1.53        1.54
cesd.sdev               1.98        1.99        2.01        1.98        2.04        2.05
cesd.min                0.00        0.00        0.00        0.00        0.00        0.00
cesd.max                8.00        8.00        8.00        8.00        8.00        8.00
cesd.n              16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
cesd.nmiss              0.00        0.00        0.00        0.00        0.00        0.00
drinkn.mn               0.60        0.70        0.66        0.67        0.85        0.81
drinkn.sdev             1.21        1.45        1.34        1.32        1.63        1.50
drinkn.min              0.00        0.00        0.00        0.00        0.00        0.00
drinkn.max             18.00       45.00       45.00       17.00       40.00       30.00
drinkn.n            16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
drinkn.nmiss           22.00       40.00       31.00       15.00       43.00       57.00
work62.mn              41.38       43.30       40.86       45.62       42.94       42.19
work62.sdev            40.29       38.17       38.36       39.71       37.57       37.32
work62.min              0.00        0.00        0.00        0.00        0.00        0.00
work62.max            100.00      100.00      100.00      100.00      100.00      100.00
work62.n            16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
work62.nmiss        12158.00    12969.00    12010.00    11701.00    11729.00    11784.00
work65.mn              20.69       26.75       25.41       29.42       29.34       28.41
work65.sdev            31.27       33.80       33.43       34.91       33.93       33.49
work65.min              0.00        0.00        0.00        0.00        0.00        0.00
work65.max            100.00      100.00      100.00      100.00      100.00      100.00
work65.n            16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
work65.nmiss        11438.00    11580.00    10557.00    10584.00    10398.00    10118.00
rplnyr.mn            2006.05     2009.52     2010.97     2012.48     2016.38     2017.83
rplnyr.sdev             3.90        4.87        4.82        4.15        5.28        4.77
rplnyr.min           2002.00     2004.00     2006.00     2008.00     2010.00     2012.00
rplnyr.max           2034.00     2040.00     2044.00     2034.00     2047.00     2046.00
rplnyr.n            16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
rplnyr.nmiss        15155.00    17056.00    16101.00    15098.00    19277.00    18090.00
rplnya.mn            2008.26     2012.17     2013.51     2014.65     2019.37     2020.50
rplnya.sdev             5.75        6.35        6.17        5.51        6.65        6.23
rplnya.min           2002.00     2004.00     2006.00     2008.00     2010.00     2012.00
rplnya.max           2048.00     2046.00     2047.00     2048.00     2057.00     2062.00
rplnya.n            16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
rplnya.nmiss        13759.00    15062.00    14427.00    13567.00    16316.00    15411.00
sayret.mn               1.19        1.00        1.04        1.05        0.81        0.83
sayret.sdev             1.02        0.95        0.93        0.90        0.82        0.79
sayret.min              0.00        0.00        0.00        0.00        0.00        0.00
sayret.max              3.00        3.00        3.00        3.00        3.00        3.00
sayret.n            16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
sayret.nmiss          240.00       45.00       33.00       29.00      279.00      121.00
retyr.mn             1991.06     1992.38     1993.93     1995.28     1997.90     1999.53
retyr.sdev              9.19        9.50        9.79       10.06       10.02       10.16
retyr.min            1933.00     1925.00     1934.00     1934.00     1935.00     1935.00
retyr.max            2003.00     2004.00     2007.00     2008.00     2011.00     2013.00
retyr.n             16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
retyr.nmiss          7553.00     8409.00     7268.00     6330.00     9687.00     8355.00
retmon.mn               5.99        6.06        6.11        6.14        6.17        6.24
retmon.sdev             3.45        3.46        3.45        3.44        3.42        3.41
retmon.min              1.00        1.00        1.00        1.00        1.00        1.00
retmon.max             12.00       12.00       12.00       12.00       12.00       12.00
retmon.n            16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
retmon.nmiss         8610.00     9639.00     8434.00     7395.00    10628.00     9257.00
iwendm.mn               6.68        6.18        6.08        5.73        6.98        6.96
iwendm.sdev             2.08        2.40        2.43        2.37        3.48        2.45
iwendm.min              1.00        1.00        1.00        1.00        1.00        1.00
iwendm.max             12.00       12.00       12.00       12.00       12.00       12.00
iwendm.n            16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
iwendm.nmiss            0.00        0.00        0.00        0.00        0.00        0.00
iwendy.mn            2002.02     2004.01     2006.02     2008.02     2010.29     2012.08
iwendy.sdev             0.12        0.10        0.13        0.12        0.45        0.27
iwendy.min           2002.00     2004.00     2006.00     2008.00     2010.00     2012.00
iwendy.max           2003.00     2005.00     2007.00     2009.00     2011.00     2013.00
iwendy.n            16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
iwendy.nmiss            0.00        0.00        0.00        0.00        0.00        0.00
wtresp.mn            3497.24     4066.62     4240.70     4311.26     4389.02     4490.96
wtresp.sdev          2229.79     2821.72     3008.71     3108.05     3751.17     3935.67
wtresp.min              0.00        0.00        0.00        0.00        0.00        0.00
wtresp.max          19101.00    16170.00    17035.00    16558.00    19408.00    19866.00
wtresp.n            16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
wtresp.nmiss            0.00        0.00        0.00        0.00        0.00        0.00
itot.mn             53180.88    60874.79    65893.51    68582.15    63904.56    65810.19
itot.sdev           94072.50   102764.01   328015.05   487629.64    93169.42   101645.82
itot.min                0.00        0.00        0.00        0.00        0.00        0.00
itot.max          7398754.00  3536642.00 25360250.00 60014376.00  3025280.00  3666240.00
itot.n              16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
itot.nmiss              0.00        0.00        0.00        0.00        0.00        0.00
atota.mn           367120.75   408574.97   490580.27   496500.85   380221.07   380760.65
atota.sdev        1103705.80  1086094.09  1254778.19  1243848.44  1008387.35   983933.17
atota.min         -619753.53 -2245500.00 -2199392.00 -1064000.00 -2760000.00 -1510000.00
atota.max        90648200.00 41475089.77 43512000.00 40660592.41 49900000.00 43954357.46
atota.n             16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
atota.nmiss             0.00        0.00        0.00        0.00        0.00        0.00
wave.mn                 6.00        7.00        8.00        9.00       10.00       11.00
wave.sdev               0.00        0.00        0.00        0.00        0.00        0.00
wave.min                6.00        7.00        8.00        9.00       10.00       11.00
wave.max                6.00        7.00        8.00        9.00       10.00       11.00
wave.n              16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
wave.nmiss              0.00        0.00        0.00        0.00        0.00        0.00
age.mn                 68.28       66.58       68.04       69.28       65.16       66.65
age.sdev               10.18       11.24       10.87       10.52       11.64       11.31
age.min                26.00       24.00       25.00       27.00       18.00       20.00
age.max               110.00      103.00      105.00      107.00      101.00      103.00
age.n               16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
age.nmiss               0.00        0.00        0.00        0.00        0.00        0.00
male.mn                 0.39        0.40        0.40        0.40        0.41        0.41
male.sdev               0.49        0.49        0.49        0.49        0.49        0.49
male.min                0.00        0.00        0.00        0.00        0.00        0.00
male.max                1.00        1.00        1.00        1.00        1.00        1.00
male.n              16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
male.nmiss              0.00        0.00        0.00        0.00        0.00        0.00
black.mn                0.14        0.14        0.14        0.14        0.20        0.19
black.sdev              0.34        0.35        0.35        0.35        0.40        0.40
black.min               0.00        0.00        0.00        0.00        0.00        0.00
black.max               1.00        1.00        1.00        1.00        1.00        1.00
black.n             16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
black.nmiss             5.00        5.00        2.00        1.00       55.00       59.00
orace.mn                0.03        0.05        0.05        0.05        0.08        0.09
orace.sdev              0.18        0.22        0.22        0.22        0.28        0.28
orace.min               0.00        0.00        0.00        0.00        0.00        0.00
orace.max               1.00        1.00        1.00        1.00        1.00        1.00
orace.n             16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
orace.nmiss             5.00        5.00        2.00        1.00       55.00       59.00
marr.mn                 0.63        0.63        0.62        0.61        0.59        0.58
marr.sdev               0.48        0.48        0.49        0.49        0.49        0.49
marr.min                0.00        0.00        0.00        0.00        0.00        0.00
marr.max                1.00        1.00        1.00        1.00        1.00        1.00
marr.n              16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
marr.nmiss             15.00       14.00        2.00        2.00        6.00        3.00
ret.mn                  0.40        0.38        0.42        0.46        0.36        0.40
ret.sdev                0.49        0.49        0.49        0.50        0.48        0.49
ret.min                 0.00        0.00        0.00        0.00        0.00        0.00
ret.max                 1.00        1.00        1.00        1.00        1.00        1.00
ret.n               16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
ret.nmiss            4592.00     5045.00     5160.00     5036.00     5418.00     5485.00
emp.mn                  0.26        0.31        0.28        0.26        0.34        0.33
emp.sdev                0.44        0.46        0.45        0.44        0.47        0.47
emp.min                 0.00        0.00        0.00        0.00        0.00        0.00
emp.max                 1.00        1.00        1.00        1.00        1.00        1.00
emp.n               16125.00    18283.00    17198.00    16075.00    20647.00    19400.00
emp.nmiss               0.00        0.00        0.00        0.00        0.00        0.00
unemp.mn                0.17        0.13        0.12        0.11        0.13        0.10
unemp.sdev              0.37        0.34        0.33        0.31        0.33        0.30
unemp.min               0.00        0.00        0.00        0.00        0.00        0.00
 [ reached getOption("max.print") -- omitted 51 rows ]
